Name,BSE Code,NSE Code,ISIN Code,Industry Group
Kirloskar Oil,533293,KIRLOSENG,INE146L01010,Industrial Products
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Banks
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software
Krishna Institu.,543308,KIMS,INE967H01025,Healthcare Services
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products
L&T Finance Ltd,533519,LTF,INE498L01015,Finance
L&T Technology,540115,LTTS,INE010V01017,IT - Services
Larsen & Toubro,500510,LT,INE018A01030,Construction
Latent View,543398,LATENTVIEW,INE0I7C01011,IT - Software
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services
Lemon Tree Hotel,541233,LEMONTREE,INE970X01018,Leisure Services
Lenskart Solut.,544600,LENSKART,INE956O01016,Retailing
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance
Life Insurance,543526,LICI,INE0J1Y01017,Insurance
Linde India,523457,LINDEINDIA,INE473A01011,Chemicals & Petrochemicals
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining
Lodha Developers,543287,LODHA,INE670K01029,Realty
LTM,540005,LTM,INE214T01019,IT - Software
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology
M & M,500520,M&M,INE101A01026,Automobiles
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance
M R P L,500109,MRPL,INE103A01014,Petroleum Products
Mahanagar Gas,539957,MGL,INE002S01010,Gas
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance
Mankind Pharma,543904,MANKIND,INE634S01028,Pharmaceuticals & Biotechnology
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products
Maruti Suzuki,532500,MARUTI,INE585B01010,Automobiles
Max Financial,500271,MFSL,INE180A01020,Insurance
Max Healthcare,543220,MAXHEALTH,INE027H01010,Healthcare Services
Mazagon Dock,543237,MAZDOCK,INE249Z01020,Industrial Manufacturing
Meesho,544632,MEESHO,INE0VDM01015,Retailing
Minda Corp,538962,MINDACORP,INE842C01021,Auto Components
MMTC,513377,MMTC,INE123F01029,Commercial Services & Supplies
Motherson Wiring,543498,MSUMI,INE0FS801015,Auto Components
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets
Mphasis,526299,MPHASIS,INE356A01018,IT - Software
MRF,500290,MRF,INE883A01011,Auto Components
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance
Narayana Hrudaya,539551,NH,INE410P01011,Healthcare Services
Natco Pharma,524816,NATCOPHARM,INE987B01026,Pharmaceuticals & Biotechnology
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals
Nava,513023,NAVA,INE725A01030,Power
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals
NBCC,534309,NBCC,INE095N01031,Construction
NCC,500294,NCC,INE868B01028,Construction
Nestle India,500790,NESTLEIND,INE239A01024,Food Products
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology
New India Assura,540769,NIACL,INE470Y01017,Insurance
